City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,dakhla,23.6848,-15.958,19.74,85,0,11.25,EH,1721526126
313,dolores,-36.3132,-57.6792,8.08,97,100,2.06,AR,1721526127
314,nguruka,-5.1092,31.0419,19.22,52,7,2.03,TZ,1721526128
315,vadso,70.0744,29.7487,12.49,93,100,1.03,NO,1721526129
316,kavaratti,10.5669,72.642,27.45,84,100,7.53,IN,1721526131
317,guarapari,-20.6667,-40.4975,21.61,86,8,2.7,BR,1721526132
318,chernyshevskiy,63.0128,112.4714,22.57,37,68,4.09,RU,1721526133
319,zakamensk,50.3741,103.2863,15.91,99,100,1.24,RU,1721526134
320,yuzhno-kurilsk,44.0306,145.8556,21.04,83,100,2.92,RU,1721526135
321,pokhara,28.2333,83.9833,21.96,97,100,0.48,NP,1721526136
322,shashemene,7.2,38.6,13.98,94,99,2.07,ET,1721526137
323,kankara,11.9302,7.4127,22.81,86,100,3.76,NG,1721526139
324,katsuren-haebaru,26.3369,127.8719,33.01,70,40,4.12,JP,1721526140
325,tura,25.5198,90.2201,27.46,81,100,2.77,IN,1721526141
326,nuuk,64.1835,-51.7216,6.34,93,44,4.12,GL,1721526142
327,korla,41.7597,86.1469,30.72,30,0,2.48,CN,1721526143
328,shengli,37.4564,118.4856,32.87,56,100,3.56,CN,1721526144
329,bandrele,-12.9067,45.1914,19.86,83,0,1.03,YT,1721526146
330,cabo san lucas,22.8909,-109.9124,32.61,51,0,4.12,MX,1721526147
331,cadale,2.7603,46.3222,24.74,87,94,6.37,SO,1721526148
332,okahandja,-21.9833,16.9167,10.56,21,11,2.66,NA,1721526149
333,kerman,30.2832,57.0788,24.92,27,0,0.0,IR,1721526150
334,villiers,-27.0303,28.6006,3.69,32,1,1.17,ZA,1721526151
335,gadzhiyevo,69.2551,33.3362,15.51,67,77,1.9,RU,1721526153
336,kolonia town,6.964,158.206,28.0,83,100,2.57,FM,1721526154
337,kayangel,8.0823,134.7173,25.5,89,100,1.89,PW,1721526155
338,amga,60.8953,131.9608,15.43,95,100,0.79,RU,1721526156
339,chibougamau,49.9168,-74.3659,10.79,62,0,2.57,CA,1721526157
340,willemstad,12.1084,-68.9335,28.95,84,20,5.66,CW,1721526158
341,ghadamis,30.1337,9.5007,31.02,20,0,3.25,LY,1721526159
342,dul'durga,50.6761,113.5931,28.49,36,78,5.07,RU,1721526161
343,atafu village,-8.5421,-172.5159,28.38,76,89,10.38,TK,1721526162
344,saint-louis du nord,19.9333,-72.7167,27.02,80,100,4.54,HT,1721526163
